TIC_ID,period,depth,duration,t0,SNR,CNN_score,is_candidate,status
TIC_468184895,0.571809,0.00665134,0.0345,1628.422476,65.918,0.4544,0,ok
TIC_419666736,0.61106,0.0048341,0.0475,1628.300821,76.519,0.9833,1,ok
TIC_290492819,1.815697,0.00013866,0.327,1629.069769,35.153,0.2439,0,ok
TIC_468155076,1.034395,0.00573178,0.0475,1654.456281,71.534,1.0,1,ok
TIC_401819729,0.522466,0.00507393,0.327,2036.63307,239.791,0.0011,0,ok
TIC_257772053,1.244371,0.00200652,0.327,2036.49794,46.545,0.0032,0,ok
TIC_346745925,1.678829,0.00426533,0.327,1628.79178,77.677,0.0004,0,ok
TIC_267194964,4.049832,0.00023183,0.327,1628.975539,37.721,0.2329,0,ok
TIC_410305216,13.172269,0.00267824,0.327,1639.52898,49.312,0.2575,0,ok
TIC_302994978,14.594595,0.00504162,0.327,1638.83507,48.531,0.9542,1,ok
TIC_468186783,0.667496,0.0023829,0.0345,2036.591838,33.968,0.2526,0,ok
TIC_317154919,2.040535,0.00024163,0.327,1629.098101,42.382,0.2295,0,ok
TIC_318612552,13.995113,0.01303019,0.327,2048.204033,29.197,1.0,1,ok
TIC_257387983,0.517914,0.00022936,0.0905,1628.245904,22.752,0.2264,0,ok
TIC_257738254,10.427696,0.0005176,0.327,2043.16248,28.645,0.255,0,ok
TIC_415972720,14.596849,0.00133113,0.327,1639.490695,24.881,0.2756,0,ok
TIC_401821603,5.356451,0.00145368,0.327,1632.503133,25.069,0.1714,0,ok
TIC_274151135,12.645481,0.00053888,0.327,2046.775467,21.667,0.2512,0,ok
TIC_318614521,14.1502,0.00099209,0.237,1639.534229,18.591,0.289,0,ok
TIC_274226401,14.594595,0.0011934,0.327,1639.520653,18.461,0.3061,0,ok
TIC_2054445521,1.66154,5.922e-05,0.327,1628.333625,13.965,0.2468,0,ok
TIC_257726702,1.66154,5.922e-05,0.327,1628.333625,13.965,0.2468,0,ok
TIC_274226393,14.683995,0.00018041,0.327,2050.247954,10.147,0.2545,0,ok
TIC_274228124,14.596849,0.00047548,0.172,1639.420586,8.54,0.2499,0,ok
TIC_405467230,1.427821,4.381e-05,0.327,1629.012152,9.593,0.249,0,ok
TIC_410306905,4.883721,9.571e-05,0.327,1629.721123,8.025,0.2424,0,ok
TIC_270278652,14.541819,0.00038296,0.237,1639.112553,8.796,0.2576,0,ok
TIC_405478524,1.462089,8.562e-05,0.327,2036.829994,8.292,0.2356,0,ok
TIC_410390728,10.587549,8.037e-05,0.172,1633.493637,7.139,0.2507,0,ok
TIC_327853078,1.363446,2.94e-05,0.327,1629.150631,8.064,0.2467,0,ok
TIC_401796943,3.564639,7.128e-05,0.1245,1628.350934,6.8,0.2511,0,ok
TIC_318612553,1.449536,0.00010754,0.237,1629.382577,7.674,0.2291,0,ok
TIC_321154297,1.374,7.027e-05,0.327,2036.892581,7.442,0.2372,0,ok
TIC_317351809,5.729094,0.00051611,0.172,1631.499108,6.783,0.2015,0,ok
TIC_318237210,1.529483,0.0005017,0.007,1654.619033,5.719,0.2351,0,ok
TIC_369366139,10.532828,0.0002684,0.237,1635.975379,6.313,0.2278,0,ok
TIC_317328068,1.562704,0.00017009,0.327,1628.664183,6.477,0.2232,0,ok
TIC_318273916,7.004441,0.00030874,0.327,2040.444159,6.357,0.22,0,ok
TIC_451560638,3.386365,0.0004307,0.1245,1654.162679,6.097,0.2245,0,ok
TIC_405465759,1.311189,0.0001116,0.172,1628.949696,6.145,0.2251,0,ok
TIC_318273949,1.496819,8.746e-05,0.327,1628.325272,6.504,0.2347,0,ok
TIC_468190615,2.386253,0.00108235,0.007,1629.086063,5.811,0.223,0,ok
TIC_394758096,0.682442,0.00044424,0.0095,1628.768578,5.634,0.2165,0,ok
TIC_388242391,0.621964,0.00012007,0.0345,1628.274406,5.712,0.2387,0,ok
TIC_451598465,1.556394,0.00042374,0.237,2036.907081,6.26,0.1532,0,ok
TIC_388242409,2.448526,0.0004018,0.025,2038.701973,5.66,0.2307,0,ok
TIC_270278779,3.327699,0.00010834,0.237,1631.008623,5.673,0.234,0,ok
TIC_405476976,5.645161,0.00091537,0.005,1631.063657,5.472,0.2368,0,ok
TIC_267168728,1.657004,0.00029355,0.018,1629.495804,5.516,0.2333,0,ok
TIC_257342510,5.366735,0.00193984,0.005,2037.580612,5.591,0.2274,0,ok
TIC_451527506,2.88875,0.0002597,0.0655,1628.197027,5.37,0.226,0,ok
TIC_279799236,1.321447,0.0004954,0.0095,1629.288697,5.403,0.2329,0,ok
TIC_419637774,2.927017,0.00157684,0.005,2037.059615,5.482,0.2193,0,ok
TIC_468148894,8.44809,0.0002423,0.327,1634.518772,5.415,0.2279,0,ok
TIC_471016495,2.633085,0.0037422,0.013,1628.484547,5.663,0.2075,0,ok
TIC_451606547,1.67977,0.00045017,0.0655,2036.368365,5.491,0.2055,0,ok
TIC_410339800,10.376556,0.00247102,0.007,2037.920473,5.394,0.231,0,ok
TIC_257325189,1.014227,0.00032044,0.018,1629.009668,5.112,0.223,0,ok
TIC_257738202,3.377505,0.00035124,0.0345,1628.614418,5.186,0.2369,0,ok
TIC_327856665,1.811971,0.00047486,0.025,1654.031396,5.08,0.2181,0,ok
TIC_325561359,1.863293,0.0017968,0.025,2362.386199,5.278,0.1598,0,ok
TIC_468182953,4.159681,0.00024093,0.327,2038.104621,5.329,0.2074,0,ok
TIC_405459430,1.961911,0.00059337,0.0475,1653.947611,5.119,0.1865,0,ok
